"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"procps-ng","3.3.15","GPL-2.0+, LGPL-2.0+ (libproc and libps)","COPYING COPYING.LIB","procps-ng-3.3.15.tar.xz","http://downloads.sourceforge.net/project/procps-ng/Production","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"cairo","1.16.0","LGPL-2.1 or MPL-1.1 (library)","COPYING COPYING-LGPL-2.1 COPYING-MPL-1.1","cairo-1.16.0.tar.xz","http://cairographics.org/releases","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] fontconfig [fontconfig license] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] pixman [MIT] rockchip-mali [ARM] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT]"
"fontconfig","2.13.1","fontconfig license","COPYING","fontconfig-2.13.1.tar.bz2","http://fontconfig.org/release","expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"freetype","2.10.4","Dual FTL/GPL-2.0+","docs/LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.10.4.tar.xz","http://download.savannah.gnu.org/releases/freetype","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libpng","1.6.37","Libpng-2.0","LICENSE","libpng-1.6.37.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.37","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rockchip-mali","master","ARM","END_USER_LICENCE_AGREEMENT.txt","rockchip-mali-master.tar.gz","/home/wxt/test/rk3588/buildroot/../external/libmali","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT]"
"libdrm","2.4.109","MIT","data/meson.build","libdrm-2.4.109.tar.xz","https://dri.freedesktop.org/libdrm","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libpthread-stubs","0.4","MIT","COPYING","libpthread-stubs-0.4.tar.bz2","http://xcb.freedesktop.org/dist","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"wayland","1.21.0","MIT","COPYING","wayland-1.21.0.tar.xz","https://gitlab.freedesktop.org/wayland/wayland/-/releases/1.21.0/downloads","expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libxml2","2.9.14","MIT","COPYING","libxml2-2.9.14.tar.xz","http://ftp.gnome.org/pub/gnome/sources/libxml2/2.9","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"pixman","0.40.0","MIT","COPYING","pixman-0.40.0.tar.xz","https://xorg.freedesktop.org/releases/individual/lib","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"chromium-wayland","88.0.4324.150","unknown","LICENSE","chromium-ozone-wayland_88.0.4324.150_aarch64.tgz","/home/wxt/test/rk3588/buildroot/../external/chromium","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"dhcpcd","9.4.1","BSD-2-Clause","LICENSE","dhcpcd-9.4.1.tar.xz","http://roy.marples.name/downloads/dhcpcd","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"dhrystone","2","unknown","","dhry-c","http://www.netlib.org/benchmark","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"dnsmasq","2.85","GPL-2.0 or GPL-3.0","COPYING COPYING-v3","dnsmasq-2.85.tar.xz","http://thekelleys.org.uk/dnsmasq","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"dropbear","2022.82","MIT, BSD-2-Clause, Public domain, Unlicense, WTFPL","LICENSE libtommath/LICENSE libtomcrypt/LICENSE","dropbear-2022.82.tar.bz2","https://matt.ucc.asn.au/dropbear/releases","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"evtest","1.34","GPL-2.0+","COPYING","evtest-evtest-1.34.tar.gz","https://gitlab.freedesktop.org/libevdev/evtest/-/archive/evtest-1.34","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"exfat-utils","1.3.0","GPL-2.0+","COPYING","exfat-utils-1.3.0.tar.gz","https://github.com/relan/exfat/releases/download/v1.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"exfat","1.3.0","GPL-2.0+","COPYING","fuse-exfat-1.3.0.tar.gz","https://github.com/relan/exfat/releases/download/v1.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libfuse [GPL-2.0, LGPL-2.1] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libfuse","2.9.9","GPL-2.0, LGPL-2.1","COPYING COPYING.LIB","fuse-2.9.9.tar.gz","https://github.com/libfuse/libfuse/releases/download/fuse-2.9.9","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"faad2","2.10.0","GPL-2.0","COPYING","faad2-2.10.0.tar.gz","https://github.com/knik0/faad2/archive/2_10_0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"fatresize","321973ba156bbf2489e82c47c94b2bca74b16316","GPL-3.0","COPYING","fatresize-321973ba156bbf2489e82c47c94b2bca74b16316.tar.gz","https://github.com/ya-mouse/fatresize/archive/321973ba156bbf2489e82c47c94b2bca74b16316","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] parted [GPL-3.0+] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"parted","3.3","GPL-3.0+","COPYING","parted-3.3.tar.xz","http://ftpmirror.gnu.org/parted","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"fluidsynth","2.2.3","LGPL-2.1+","LICENSE","fluidsynth-2.2.3.tar.gz","https://github.com/FluidSynth/fluidsynth/archive/v2.2.3","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libglib2 [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"gdk-pixbuf","2.42.4","LGPL-2.1+","COPYING","gdk-pixbuf-2.42.4.tar.xz","http://ftp.gnome.org/pub/gnome/sources/gdk-pixbuf/2.42","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libffi [MIT] libglib2 [LGPL-2.1+] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"jpeg-turbo","2.1.3","IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)","LICENSE.md README.ijg","libjpeg-turbo-2.1.3.tar.gz","https://downloads.sourceforge.net/project/libjpeg-turbo/2.1.3","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"gesftpserver","1","GPL-2.0+","COPYING","sftpserver-1.tar.gz","http://www.greenend.org.uk/rjk/sftpserver","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"glmark2","06e78b67702b5413335ecdf1ae816da9c20f6ed9","GPL-3.0+, SGIv1","COPYING COPYING.SGI","glmark2-06e78b67702b5413335ecdf1ae816da9c20f6ed9.tar.gz","https://github.com/glmark2/glmark2/archive/06e78b67702b5413335ecdf1ae816da9c20f6ed9","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] rockchip-mali [ARM] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT] wayland-protocols [MIT]"
"wayland-protocols","1.31","MIT","COPYING","wayland-protocols-1.31.tar.xz","https://gitlab.freedesktop.org/wayland/wayland-protocols/-/releases/1.31/downloads","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"gst1-plugins-bad","1.22.0","LGPL-2.0+, GPL-2.0+, UNKNOWN","COPYING COPYING","gst-plugins-bad-1.22.0.tar.xz","https://gstreamer.freedesktop.org/src/gst-plugins-bad","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] faad2 [GPL-2.0] fluidsynth [LGPL-2.1+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] gst1-plugins-base [LGPL-2.1+] gstreamer1 [LGPL-2.1+] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libmpeg2 [GPL-2.0+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libtheora [BSD-3-Clause] libvorbis [BSD-3-Clause] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mjpegtools [GPL-2.0+] pcre [BSD-3-Clause] rockchip-rga [Apache-2.0] rtmpdump [LGPL-2.1+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT] wayland-protocols [MIT]"
"gst1-plugins-base","1.22.0","LGPL-2.1+","COPYING","gst-plugins-base-1.22.0.tar.xz","https://gstreamer.freedesktop.org/src/gst-plugins-base","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] gstreamer1 [LGPL-2.1+] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libtheora [BSD-3-Clause] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] rockchip-rga [Apache-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"gstreamer1","1.22.0","LGPL-2.1+","COPYING","gstreamer-1.22.0.tar.xz","https://gstreamer.freedesktop.org/src/gstreamer","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libglib2 [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libtheora","1.1.1","BSD-3-Clause","COPYING LICENSE","libtheora-1.1.1.tar.xz","http://downloads.xiph.org/releases/theora","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libogg [BSD-3-Clause] libvorbis [BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rockchip-rga","master","Apache-2.0","COPYING","rockchip-rga-master.tar.gz","/home/wxt/test/rk3588/buildroot/../external/linux-rga","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libmpeg2","0.5.1","GPL-2.0+","COPYING","libmpeg2-0.5.1.tar.gz","http://libmpeg2.sourceforge.net/files","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"mjpegtools","2.2.1","GPL-2.0+","COPYING","mjpegtools-2.2.1.tar.gz","http://sourceforge.net/projects/mjpeg/files/mjpegtools/2.2.1","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rtmpdump","c5f04a58fc2aeea6296ca7c44ee4734c18401aa3","LGPL-2.1+","librtmp/COPYING","rtmpdump-c5f04a58fc2aeea6296ca7c44ee4734c18401aa3-br1.tar.gz","git://git.ffmpeg.org/rtmpdump","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"gst1-plugins-good","1.22.0","LGPL-2.1+","COPYING","gst-plugins-good-1.22.0.tar.xz","https://gstreamer.freedesktop.org/src/gst-plugins-good","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] gdk-pixbuf [LGPL-2.1+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] gst1-plugins-base [LGPL-2.1+] gstreamer1 [LGPL-2.1+] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libgudev [LGPL-2.1+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libsndfile [LGPL-2.1+] libtheora [BSD-3-Clause] libtool [LGPL-2.1+] libv4l [GPL-2.0+ (utilities), LGPL-2.1+ (libraries)] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] mpg123 [LGPL-2.1] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre [BSD-3-Clause] pulseaudio [LGPL-2.1+ (specific license for modules, see LICENSE file)] readline [GPL-3.0+] rockchip-rga [Apache-2.0] sbc [GPL-2.0+ (programs), LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] speex [BSD-3-Clause] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libgudev","236","LGPL-2.1+","COPYING","libgudev-236.tar.xz","http://ftp.gnome.org/pub/GNOME/sources/libgudev/236","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libv4l","1.22.1","GPL-2.0+ (utilities), LGPL-2.1+ (libraries)","COPYING COPYING.libv4l lib/libv4l1/libv4l1-kernelcode-license.txt","v4l-utils-1.22.1.tar.bz2","https://linuxtv.org/downloads/v4l-utils","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"gst1-plugins-ugly","1.22.0","LGPL-2.1+, GPL-2.0","COPYING","gst-plugins-ugly-1.22.0.tar.xz","https://gstreamer.freedesktop.org/src/gst-plugins-ugly","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] gst1-plugins-base [LGPL-2.1+] gstreamer1 [LGPL-2.1+] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libmpeg2 [GPL-2.0+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libtheora [BSD-3-Clause] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] rockchip-rga [Apache-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"harfbuzz","4.3.0","MIT, ISC (ucdn library)","COPYING","harfbuzz-4.3.0.tar.xz","https://github.com/harfbuzz/harfbuzz/releases/download/4.3.0","cairo [LGPL-2.1 or MPL-1.1 (library)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] fontconfig [fontconfig license] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] pixman [MIT] rockchip-mali [ARM] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT]"
